COMMUNE,LIEU_DIT,DEPARTEMENT,LONG_L93,LAT_L93,LAT_WGS,LONG_WGS,Département,Ancienne Région,Nouvelle Région,DPT_str
MONTAIGUT-LE-BLANC,Caves de Saint-Julien A 41 et A46,63,707737.68,6498850.55,45.58912377089454,3.099238208804087,63,Auvergne,Auvergne-Rhône-Alpes,Puy-de-Dôme
VAUDELNAY,La Brosse,49,456405.0,6674929.0,47.13000026886169,-0.2143880663008596,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
ÉVAUX-LES-BAINS,la Ribe - Mine Ribe Ouest,23,663550.0,6566156.0,46.19426296541634,2.5273555568018558,23,Limousin,Nouvelle-Aquitaine,Creuse
SAINT-ROBERT,Cave,19,566393.2,6463239.1,45.25552497434332,1.2965680439976925,19,Limousin,Nouvelle-Aquitaine,Correze
SEGONZAC,Ancienne Gare de Segonzac,19,565553.7,6464977.19,45.271008026825946,1.285387004285079,19,Limousin,Nouvelle-Aquitaine,Correze
ÉCURAT,Bois de Peu Volant,17,414509.0,6528319.0,45.79466765082478,-0.6764655470820815,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
JONZAC,Residence Philippe,17,430626.0,6489451.0,45.45156991732034,-0.4473507565274272,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
JONZAC,Bourg Nouveau,17,432300.0,6488787.0,45.44625232521091,-0.42558605093564594,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
JONZAC,Bois de chez Michenot,17,431961.0,6489102.0,45.44895363019268,-0.4300935545709918,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
JAUNAY-MARIGNY,Meoc (Carriere principale),86,498547.47,6630630.3,46.74548681174614,0.36077792441433476,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
SAINT-AGNANT,Les Chaumes (NE),17,394485.0,6538009.0,45.87313084210423,-0.9401367581539566,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
SAINT-VAIZE,Carrières de Pot Vert,17,417736.0,6530431.0,45.815010706051346,-0.636219838126211,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
SCORBÉ-CLAIRVAUX,Les Roches Carrières (principale),86,503542.62,6639596.14,46.827656194077406,0.4223391400957609,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
MONTS-SUR-GUESNES,Cave route de Princay,86,488268.2,6650516.21,46.92125370598944,0.21703985902260356,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
ROMEGOUX,Les Genêts (E),17,404920.0,6533923.0,45.84098646078222,-0.8032353505572895,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
SAINT-GEORGES-ANTIGNAC,Carrières des Poudriers,17,428352.0,6495287.0,45.50317258984354,-0.47970428078082716,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
CHASTEAUX,Grotte de Murel,19,579633.0,6441510.0,45.0623548124208,1.4706902416554541,19,Limousin,Nouvelle-Aquitaine,Correze
LA CLISSE,Carrière des Fourneaux (W),17,407504.0,6521416.0,45.72960572497335,-0.7623064632763155,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
SAINT-BONNET-SUR-GIRONDE,Goizet (E),17,414623.0,6479380.0,45.3545064305719,-0.6459213177970102,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
SAINT-GEORGES-DES-COTEAUX,les Moulins de Saint Georges,17,411612.0,6524651.0,45.760453886831165,-0.7114989588483388,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
LA TESTE-DE-BUCH,L'Eden,33,367827.0,6401375.0,44.63213814036866,-1.1898921104769047,33,Aquitaine,Nouvelle-Aquitaine,Gironde
CANIAC-DU-CAUSSE,Grotte de la Devèze,46,594413.0,6392339.0,44.622136082965966,1.6689674397813903,46,Midi-Pyrénées,Occitanie,Lot
LACAVE,Grotte de Combe Cullier,46,586676.0,6417302.0,44.84562337135691,1.5657400043340375,46,Midi-Pyrénées,Occitanie,Lot
PINSAC,Grotte des Réfractaires,46,585936.0,6419016.0,44.86093112651046,1.5559797772344328,46,Midi-Pyrénées,Occitanie,Lot
SAINT-SULPICE-D'ARNOULT,Carrière de Fief de Foye (W),17,404364.0,6534099.0,45.84232819776283,-0.8104998124195447,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
SOUILLAC,La Forge,46,576922.0,6426604.0,44.92769340894742,1.4399958967100406,46,Midi-Pyrénées,Occitanie,Lot
SAULIAC-SUR-CÉLÉ,Igue de Geniez,46,598287.0,6379873.0,44.510503942025615,1.7203409409358807,46,Midi-Pyrénées,Occitanie,Lot
CÉNAC,La Mouleyre (cavité principale),33,426727.9,6416982.2,44.79815096269941,-0.4566010159965503,33,Aquitaine,Nouvelle-Aquitaine,Gironde
CHARMÉ,Grotte de Charmé,16,476878.0,6543301.0,45.95277916493647,0.11885664872507326,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
GENNES-VAL-DE-LOIRE,Caves de la Blinière,49,448017.0,6696384.0,47.319854644919715,-0.33690091663593513,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
LATRESNE,Bois du Grand Parc ENS,33,424600.3,6415464.2,44.78365594695715,-0.48263181676232075,33,Aquitaine,Nouvelle-Aquitaine,Gironde
SAINT-GERMAIN-DU-PUCH,Jonquieyre,33,434584.2,6421883.3,44.84528782836224,-0.35998511945701706,33,Aquitaine,Nouvelle-Aquitaine,Gironde
CHÂTEAUNEUF-SUR-CHARENTE,Les Rocs de la Pelletrie,16,460436.0,6503575.0,45.58972435702311,-0.07329289123771211,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
CAPIAN,German,33,435549.0,6408245.0,44.722979240789364,-0.3404864091578982,33,Aquitaine,Nouvelle-Aquitaine,Gironde
PLEAUX,Tunnel de Salesse,15,642230.208,6443338.375,45.08689424836281,2.265725550382538,15,Auvergne,Auvergne-Rhône-Alpes,Cantal
SAINTE-OUENNE,Ancienne citerne à eau,79,435878.34,6599599.94,46.444559858230676,-0.441619571149977,79,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
